,pred,lat,lon
89,0,33.9284,-118.2916
90,1,34.23,-118.4224
91,1,34.0454,-118.3102
92,0,34.0962,-118.3386
93,0,34.2012,-118.3703
94,0,33.931,-118.2761
95,0,34.0328,-118.2915
96,0,34.2012,-118.4211
97,0,33.7315,-118.2814
98,1,33.9782,-118.3294
99,1,34.0297,-118.3272
100,1,33.9902,-118.2564
101,0,34.0524,-118.2842
102,0,34.0037,-118.3089
103,0,34.1232,-118.216
104,1,33.9746,-118.3221
105,1,34.0781,-118.2609
106,1,33.9475,-118.2462
107,1,34.0544,-118.2767
108,0,33.9611,-118.2827
109,1,34.0793,-118.3092
110,0,34.0626,-118.1841
111,1,33.9555,-118.2871
112,1,34.2607,-118.4312
113,1,34.0616,-118.2794
114,1,34.0998,-118.3447
115,0,34.0917,-118.2741
116,0,33.9833,-118.3024
117,0,33.9572,-118.2695
118,1,34.023,-118.351
119,1,34.0654,-118.2966
120,1,33.7911,-118.2646
121,1,33.9367,-118.2871
122,1,33.9265,-118.2739
123,0,33.9892,-118.2838
124,1,34.0657,-118.2603
125,1,33.9616,-118.2782
126,0,34.2273,-118.5405
127,0,34.0423,-118.2452
128,1,34.0835,-118.3386
129,1,33.9622,-118.285
130,0,33.9891,-118.3285
131,1,34.1721,-118.4463
132,0,34.0835,-118.3288
133,1,33.9637,-118.2739
134,1,34.056,-118.3209
135,0,34.0616,-118.2794
136,0,34.1903,-118.3812
137,1,34.1917,-118.4378
138,1,34.0056,-118.274
139,1,34.0577,-118.3066
140,0,34.0416,-118.2584
141,0,34.0218,-118.3723
142,1,34.0219,-118.3133
143,0,33.9432,-118.2435
144,0,33.7845,-118.302
145,1,33.9941,-118.2915
146,1,33.979,-118.3112
147,0,33.991,-118.2958
148,1,34.0006,-118.2871
149,1,34.0201,-118.2104
150,1,34.0565,-118.2768
151,1,33.9401,-118.2805
152,0,34.2216,-118.4488
153,1,34.2215,-118.4553
154,1,34.0164,-118.2699
155,0,33.9667,-118.2893
156,0,33.9746,-118.3285
157,1,34.143,-118.3727
158,0,34.0275,-118.2746
159,0,33.9907,-118.2564
160,1,34.1959,-118.39
161,0,34.061,-118.2615
162,1,34.1866,-118.536
163,1,34.2282,-118.4536
164,0,34.0018,-118.2842
165,0,34.011,-118.3351
166,0,34.1828,-118.6102
167,1,34.0618,-118.2929
168,1,34.07,-118.1998
169,0,34.0003,-118.4744
170,0,34.1215,-118.2069
171,0,33.9411,-118.2739
172,1,33.9528,-118.2827
173,1,34.0326,-118.3351
174,1,34.1675,-118.5226
175,0,34.2572,-118.5973
176,1,34.0109,-118.3089
177,1,34.2031,-118.4182
178,0,34.0618,-118.2979
179,0,34.1907,-118.4465
180,1,34.0466,-118.279
181,1,34.0467,-118.2556
182,1,34.0881,-118.1877
183,1,34.069,-118.3104
184,1,34.1682,-118.571
185,1,34.201,-118.5967
186,0,34.0382,-118.2916
187,1,33.9846,-118.3279
188,0,33.986,-118.2827
189,0,34.0468,-118.2078
190,1,34.043,-118.242
191,1,34.2427,-118.4453
192,0,34.1898,-118.6426
193,0,34.2086,-118.4112
194,0,34.0206,-118.3725
195,1,34.0853,-118.1818
196,1,34.1695,-118.3659
197,1,34.0735,-118.2868
198,1,34.0982,-118.2874
199,0,34.2614,-118.2979
200,1,34.0433,-118.274
201,1,33.977,-118.3068
202,0,34.1866,-118.536
203,1,33.9456,-118.2762
204,1,33.9923,-118.287
205,1,34.0688,-118.2333
206,0,34.0418,-118.3134
207,1,34.0344,-118.2157
208,0,33.9625,-118.2871
209,1,34.0111,-118.2784
210,1,34.2048,-118.4859
211,0,34.0598,-118.2954
212,0,34.2285,-118.4972
213,1,34.0522,-118.3334
214,1,34.1867,-118.3877
215,0,34.0427,-118.3177
216,0,33.9946,-118.4724
217,1,33.7522,-118.3089
218,1,33.9737,-118.2827
219,1,34.0496,-118.3425
220,1,34.1018,-118.2918
221,0,34.1803,-118.4073
222,0,33.9492,-118.2739
223,1,33.9378,-118.2542
224,1,34.079,-118.2172
225,1,34.0895,-118.2917
226,0,34.2482,-118.4675
227,1,34.0296,-118.2614
228,0,33.9456,-118.2652
229,1,34.0649,-118.3525
230,1,33.977,-118.2739
231,1,34.0312,-118.2478
232,0,34.2084,-118.5273
233,0,33.7279,-118.2968
234,1,34.0378,-118.2456
235,1,34.1272,-118.3783
236,0,34.0771,-118.1681
237,1,33.9478,-118.2893
238,1,34.0054,-118.2842
239,1,33.9848,-118.2915
240,0,33.9888,-118.2915
241,1,34.1723,-118.5659
242,0,34.1885,-118.3965
243,0,34.2355,-118.4536
244,0,34.043,-118.2606
245,1,34.0161,-118.3547
246,0,34.0909,-118.295
247,1,34.0454,-118.3053
248,1,34.0544,-118.2809
249,1,34.1016,-118.3295
250,0,34.0511,-118.2707
251,1,33.9875,-118.2915
252,0,34.0761,-118.3555
253,0,34.0509,-118.2989
254,1,33.9756,-118.2783
255,1,34.0265,-118.3721
256,1,34.048,-118.3493
257,1,33.9527,-118.377
258,0,34.0262,-118.3015
259,1,33.966,-118.2783
260,1,33.962,-118.2629
261,0,34.3061,-118.4414
262,1,34.0871,-118.3266
263,1,34.1974,-118.5954
264,0,34.1672,-118.5411
265,1,34.2206,-118.5448
266,1,33.9697,-118.2739
267,1,33.7941,-118.29
268,0,34.0998,-118.3267
269,0,33.9455,-118.2608
270,0,34.0036,-118.3319
271,1,33.8303,-118.3065
272,0,33.9854,-118.3157
273,1,34.0277,-118.2574
274,1,33.9511,-118.2651
275,0,34.1483,-118.4326
276,1,33.9892,-118.2827
277,1,34.0437,-118.2455
278,1,33.9876,-118.3024
279,1,33.9948,-118.2478
280,0,33.9485,-118.2461
281,1,34.1705,-118.379
282,0,33.9379,-118.2359
283,1,34.0221,-118.2915
284,0,34.0109,-118.3326
285,0,34.0749,-118.4798
286,0,34.0155,-118.3045
287,1,34.0596,-118.2749
288,0,33.9854,-118.3309
289,0,33.9893,-118.2564
290,0,34.2011,-118.5906
291,1,34.253,-118.2907
292,1,33.9602,-118.2564
293,0,33.9965,-118.2783
294,0,34.1852,-118.4837
295,0,33.9331,-118.2511
296,1,34.1938,-118.4702
297,0,33.964,-118.2739
298,1,34.0981,-118.3071
299,1,34.0562,-118.2696
300,1,33.8037,-118.264
301,1,33.7941,-118.29
302,1,34.0998,-118.3211
303,1,33.9339,-118.2811
304,1,33.9602,-118.2564
305,1,34.0415,-118.2196
306,1,34.0481,-118.2507
307,0,34.2156,-118.5975
308,0,34.1849,-118.3597
309,0,33.9932,-118.2915
310,1,34.0491,-118.301
311,0,34.0311,-118.3428
312,1,33.9757,-118.3309
